機種名,thumbnail_image_url,sub_image_url,メーカー名,機械割,導入開始日,機種概要
Sキャッツ・アイ,https://p-town.dmm.com/upload/machines/4140/image.jpg?t=1649145330,,平和（メーカー公式サイト）  平和の掲載機種一覧,102.4% 〜 108.5% ※ 完全攻略時,2022/06/06(月),技術介入要素を搭載したボーナス＋ATタイプで『Sキャッツ・アイ』が登場する。  通常時はボーナスを引けば必ずATに突入。AT中のボーナスでATのゲーム数を上乗せしつつ、ロング継続を狙うゲーム性だ。
シリウス,https://p-town.dmm.com/upload/machines/4145/image.jpg?t=1649248262,https://p-town.dmm.com/upload/machines/4145/image.jpg?t=1649248262,ヤーマ（メーカー公式サイト）  ヤーマの掲載機種一覧,97.5% 〜 106.0%,2022/06/06(月),6.5号機で『シリウス』が登場する。  BIG（AT）は純増約4.5枚＆押し順ナビの簡単仕様で約313枚獲得可能。  ボーナス高確率状態を基本２セットで継続させる新機能シリウスモードが搭載されている。
パチスロピンクパンサーSP,https://p-town.dmm.com/upload/machines/4150/image.jpg?t=1649748653,,山佐（メーカー公式サイト）  山佐の掲載機種一覧,99.4% 〜 107.3% ※ 完全攻略時,2022/06/06(月),リアルボーナス＋ART機で『ピンクパンサー』が登場。  通常時はボーナスを引けばRTに突入して、RT中に技術介入（ビタ押しチャンス）やボーナスを引けば純増約0.3枚のARTに突入するゲーム性だ。  ボーナス中のビタ押しチャンスは失敗しても保証分の恩恵は得られるため、ビタ押しが苦手な人でも安心して楽しむことが可能。  ビタ押しの練習要素も搭載されているので、事前にリールの感覚を掴んでからビタ押しチャンスにチャレンジすることもできる。
ぱちすろけものフレンズ,https://p-town.dmm.com/upload/machines/4134/image.jpg?t=1648637922,,サミー（メーカー公式サイト）  サミーの掲載機種一覧,97.7% 〜 107.7%,2022/05/23(月),1周期最大100Gの周期抽選タイプで、「けものフレンズ」が登場。  周期中はフレンズの獲得とレベルアップを抽選していて、高レベルほどCZ期待度がアップする。周期到達後はジャパリトロッコでCZの当否を決定。CZはけものくえすと（3種類）と、特定周期で突入するサーバルちゃんすの計4種類が存在する。  AT「ジャパリタイム」は純増約9.5枚、1セット10G＋αのセット継続型。7レベルに応じて、押し順ベルでの継続期待度が変化する。最大6セット目まで継続する可能性があり、6セット目に赤7が揃えば上位ATの「野生解放」へ突入。「野生解放」は継続率が大幅にアップしているので、エンディング到達も夢ではない！
パチスロゼーガペイン2,https://p-town.dmm.com/upload/machines/4116/image.jpg?t=1646215000,,山佐（メーカー公式サイト）  山佐の掲載機種一覧,97.9% 〜 110.2%,2022/05/23(月),リアルボーナスを搭載した6.2号機のA＋ATタイプで、「パチスロ ゼーガペイン2」が登場する。  AT当選のメイン契機となるCZ「キョウ覚醒ゾーン」は期待度約40%で、ゲーム数消化・レア役・ボーナスを契機に突入。前作同様のレベルアップ型となっていて、15G以内にレベルアップできれば報酬ゲット＋ゲーム数が15Gに再セットされるSTタイプだ。  AT「ゼーガラッシュ」は初期ゲーム数100G＋αのゲーム数管理型。純増は約1.2枚/Gと控えめのため、ATで出玉を増やすというよりもボーナスとのかみ合わせが重要と言える。  ボーナス中は全18話のオリジナルストーリーが楽しめるので、原作ファンも必見だ。
SLOTSTEINS;GATE,https://p-town.dmm.com/upload/machines/4122/image.jpg?t=1646734013,,メーシー（メーカー公式サイト）  メーシーの掲載機種一覧,97.2% 〜 108.1%,2022/05/09(月),通常時は150pt獲得でCZのチャンスとなる周期抽選タイプ。CZクリアでボーナスが確定し、ボーナス後に必ず突入する引き戻しゾーンでボーナスのループを狙うゲーム性だ。  引き戻しゾーンは「STEINS;ROAD（SR）」と「STEINS;GATE（SG）」の2種類あり、基本はSRから開始。SRは16〜32G継続し、ボーナス中のストーリークリアでゲーム数が加算される。全5つのストーリーをクリアすれば32G固定のSGへ昇格。SGのループ率は約86%と高いので、SGまで到達できるかが大量出玉獲得のカギと言えるだろう。魔眼システムなど、原作の世界観を再現したシステムや演出面も必見だ！
Sスーパー海物語INJAPAN祭,https://p-town.dmm.com/upload/machines/4131/image.jpg?t=1649149480,,SanThree（メーカー公式サイト）  SanThreeの掲載機種一覧,97.59% 〜 110.25%,2022/05/09(月),通常時は液晶の図柄が揃えばボーナス確定とシンプルな仕様。ボーナスはレア役契機のほか、ポイント契機で突入する「桜チャレンジ（CZ）」からも当選の可能性がある。初当りのメインとなる「海祭ボーナス」消化中は、海ラッシュチャレンジとチャレンジのゲーム数加算を抽選。ボーナス後のチャレンジクリアが、AT突入のメイン契機だ。  AT「海ラッシュ」は差枚数管理型で、1Gあたりの純増は約2.8枚。初回は必ず特化ゾーンからスタートし、AT中のレア役などでボーナスや特化ゾーンを抽選する。「海乗せフェスティバルMETAL」や「スペシャルアイマリンボーナス」など、大量上乗せ必至の強力トリガーも搭載されている。
ハナハナホウオウ～天翔～（紫パネル）,https://p-town.dmm.com/upload/machines/4120/image.jpg?t=1646647293,https://p-town.dmm.com/upload/machines/4120/image.jpg?t=1646647293,パイオニア（メーカー公式サイト）  パイオニアの掲載機種一覧,97% 〜 109%,2022/05/09(月),ハナハナホウオウ～天翔～の紫パネルが登場！
パチスロ月華雅,https://p-town.dmm.com/upload/machines/4132/image.jpg?t=1648028250,https://p-town.dmm.com/upload/machines/4132/image.jpg?t=1648028250,エンターライズ（メーカー公式サイト）  エンターライズの掲載機種一覧,97.3% 〜 110.3%,2022/04/18(月),完全告知の擬似ボーナスタイプとして『パチスロ 月華 雅』が登場。  獲得枚数はBIGが約290枚、REGは約100枚で、ボーナス終了後の32G間はボーナス当選の大チャンスとなる。
十字架5,https://p-town.dmm.com/upload/machines/4100/image.jpg?t=1644400793,,ネット（メーカー公式サイト）  ネットの掲載機種一覧,97.9% 〜 110.1%,2022/04/18(月),通常時は小役でCZを、ゲーム数消化でAT直撃を抽選していて、おなじみの十字架揃いがCZ当選のメイン契機となっている。  ATは純増約2.7枚/Gのゲーム数管理型。「サモンズロード」からスタートし、小役でスピリットを召喚できれば20G固定の「クロスラッシュ」へ突入する。「クロスラッシュ」中に発展するCZをクリアすれば、特化ゾーンで「サモンズロード」のゲーム数を上乗せ。2つのATをループさせて、出玉を増やすゲーム性だ。シリーズおなじみのドラキュラバトルも健在で、バトル勝利で最強特化ゾーンの「オメガバトル」へ突入。さまざまなタイミングで突入する「闇堕ち」にも注目して楽しんでいただきたい。
超ギラギラ爺サマー,https://p-town.dmm.com/upload/machines/4117/image.jpg?t=1646215784,,サボハニ  サボハニの掲載機種一覧,97.1% 〜 106.1%,2022/04/18(月),最大200G＋αに1回、ATのチャンスが訪れる短期決戦型マシン。  通常時は全役でポイントを抽選し、500ptごとに突入する「踊り娘まんぷくデート」で、アイコン（おもにCZのゲーム数）を獲得。  CZ「ギラチャンス」は前半戦と最終決戦の2部構成となっていて、前半戦は通常時に獲得したゲーム数だけ継続する。BAR揃いの2択を成功させれば最終決戦の権利をストック、最終決戦の2択で青7を揃えられればAT確定だ。  AT「ギラギラッシュ」は純増約7.0枚/Gの差枚数管理型。初期枚数が完全自力の6択で決まるので、いきなり2400枚のチャンスも存在するぞ。もちろん、AT中は枚数直乗せや特化ゾーンの抽選もあり…
S2027DB,https://p-town.dmm.com/upload/machines/4146/image.jpg?t=1649418850,,JPS（メーカー公式サイト）  JPSの掲載機種一覧,97.9% 〜 114.9%,2022/04/18(月),リアルボーナス超高確率ゾーン「バトルモード」を搭載して、『S2027DB』が登場する。本機は新しいタイプのプライベートブランド機となっていて、全国20の限られたホールでのみ打つことが可能だ。  ゲーム性はボーナスの連打で出玉を増やすタイプで、通常時はソナーチャンスの3択当てに成功（ソナー揃いで正解）することで「バトルモード」へ突入。「バトルモード」中は約1/15でボーナスが成立し、約1/31で成立するCTを取りこぼすと通常時へ転落する。CTは2択なので、成立してしまっても自力で回避できるチャンスが存在するぞ。
アカジンー30,https://p-town.dmm.com/upload/machines/4119/image.jpg?t=1646643374,https://p-town.dmm.com/upload/machines/4119/image.jpg?t=1646643374,バルテック  バルテックの掲載機種一覧,97.2% 〜 106.0%,2022/04/06(水),サンシャイングループのプライベートブランド機として、『アカジン』が登場。  純増約7枚/GのAT機となっていて、通常時は毎ゲームボーナスを抽選するのでボーナスタイプに近い感覚で打つことが可能だ。  リール右上のアバサーランプが光ればボーナス確定。ボーナスはBIGとREGの2種類あり、獲得枚数はそれぞれ約282枚と約106枚だ。消化中は全役でBIGの1G連抽選をおこなっていて、リール左下のアカジンランプが点灯すれば1G連が確定する。
SLOTえとたま,https://p-town.dmm.com/upload/machines/4105/image.jpg?t=1644316870,,メーシー（メーカー公式サイト）  メーシーの掲載機種一覧,97.6% 〜 108.2%,2022/04/04(月),ボーナス＋ATタイプで『SLOTえとたま』が登場する。  通常時は小役でのボーナス抽選だけでなく、せるふまっぷと小役を参照して獲得する「萌力」による、高確移行やAT直撃抽選もあり。  せるふまっぷと萌力は通常時〜AT中までつねに存在し、ボーナス中はATを、AT中であれば干支神バトルストックなど、滞在状態に応じた抽選をおこなう。  AT「萌力祭」は純増約2枚/Gで、50G＋α継続。ボーナスや上乗せを絡めて、ロング継続を目指すゲーム性だ。  上乗せ特化ゾーンは「にゃんにゃんちゃーじ」や「猫鼠激突」の2種類あり、「猫鼠激突」に突入すれば大量上乗せの期待大！
パチスロこの素晴らしい世界に祝福を！,https://p-town.dmm.com/upload/machines/4097/image.jpg?t=1645781831,,サミー（メーカー公式サイト）  サミーの掲載機種一覧,97.9% 〜 109.1%,2022/04/04(月),大人気の「このすば」がパチスロで登場。  通常時はキャラ役でポイントをためながら、20Gごとの周期抽選でCZを目指し、CZをクリアすれば1段階目のAT「このすばチャンス」へ突入する。  このすばチャンスでは6人のヒロインとガチ抽選のバトルをおこない、全員撃破できれば2段階目のAT「このすばRUSH」へ突入する仕様だ。
ぱちスロウルトラマンタロウ暴君SPEC,https://p-town.dmm.com/upload/machines/4128/image.jpg?t=1647565702,https://p-town.dmm.com/upload/machines/4128/image.jpg?t=1647565702,OK!!（メーカー公式サイト）  OK!!の掲載機種一覧,97.6% 〜 110.1%,2022/04/04(月),1周期約78Gの周期抽選タイプで『ぱちスロ ウルトラマンタロウ 暴君SPEC』が登場する。  AT当選のメインとなるCZは「バルタン星人撃破チャレンジ」と「タイラント撃破チャレンジ」の2種類で、期待度はいずれも約40%。周期抽選だけではなく、レア役でもCZを抽選している。  AT『ウルトララッシュ』は純増約2.7枚/Gのゲーム数管理型。ゲーム数上乗せだけでなく、継続バトル勝利によるセット継続も存在し、ループ率が約80%（設定1）と高いところも特徴だ。  「ダークキラーバトル」や「ウルトラコンボ」など、大量上乗せに期待できる強力な特化ゾーンも搭載されているぞ！
パチスロひぐらしのなく頃に祭2カケラ遊び編,https://p-town.dmm.com/upload/machines/4114/image.jpg?t=1645792367,,オーイズミラボ（メーカー公式サイト）  オーイズミラボの掲載機種一覧,97.8% 〜 108.3% ※ 完全攻略時,2022/04/04(月),パチスロ「ひぐらしのなく頃に」シリーズの最新作が登場！  初当りのメインはCZ風の連続演出である「惨劇」。「惨劇」中は毎ゲームカケラ（チャンスアップ）の獲得を抽選していて、獲得するほどボーナス期待度がアップする。「惨劇」の連続発生に期待できる「カケラ回想」も搭載されているぞ。  初当たり後はCZ「絶対意思ゾーン」を突破することで連チャンがスタート。自力でボーナスを昇格可能な「運命分岐モード」が要注目ポイントと言える。ボーナス後は引き戻しゾーンの「運命の解」へ突入するので、ボーナスと引き戻しゾーンをループさせて出玉増加を目指すゲーム性となっている。ボーナス中はおなじみのビタ押し要素も存在！
沖縄フェスティバル-30,https://p-town.dmm.com/upload/machines/4093/image.jpg?t=1644298033,https://p-town.dmm.com/upload/machines/4093/image.jpg?t=1644298033,パイオニア（メーカー公式サイト）  パイオニアの掲載機種一覧,97.0% 〜 108.0%,2022/03/28(月),シリーズおなじみとなる完全告知のボーナスタイプ。  ハイビスカスが点滅するボーナス告知発生後は、ハイビスカスにタッチして変化があればBIG確定という華みくじを搭載している。  小役成立時にランプをタッチして同時当選したかどうかを確認できるマイ告知機能も搭載。  もちろん、BIG中のレア役出現確率やボーナス後の上パネルフラッシュなど設定推測要素も多数存在している。
ナナイロサンゴ,https://p-town.dmm.com/upload/machines/4129/image.jpg?t=1647593697,https://p-town.dmm.com/upload/machines/4129/image.jpg?t=1647593697,バルテック（メーカー公式サイト）  バルテックの掲載機種一覧,97.4% 〜 106.1%,2022/03/28(月),5段階設定、完全告知のボーナスタイプで『ナナイロサンゴ』が登場する。  告知発生でボーナス確定というシンプルなマシンで、難しい技術介入等は一切ナシ。誰でも簡単に遊べる仕様になっている。  ボーナスはBIGとREGの2種類あり、BIGは最大260枚（平均258枚）、REGは最大104枚（平均102枚）を獲得可能だ。
Sあかばなぁ,https://p-town.dmm.com/upload/machines/4127/image.jpg?t=1686674714,,LUX  LUXの掲載機種一覧,掲載準備中,2022/03/23(水),-
パチスロ蒼天の拳4,https://p-town.dmm.com/upload/machines/4085/image.jpg?t=1642491001,https://p-town.dmm.com/upload/machines/4085/image.jpg?t=1642491001,サミー（メーカー公式サイト）  サミーの掲載機種一覧,97.6% 〜 111.4%,2022/03/07(月),シリーズ第4弾となる差枚数管理型のAT機（6.2号機）。
パチスロTIGER&BUNNYSP,https://p-town.dmm.com/upload/machines/4084/image.jpg?t=1642345737,https://p-town.dmm.com/upload/machines/4084/image.jpg?t=1642345737,山佐ネクスト（メーカー公式サイト）  山佐ネクストの掲載機種一覧,97.9% 〜 111.0%,2022/03/07(月),通常時はアビリティチャージでCZの保証ゲーム数を加算させつつ、規定ゲーム数消化やレア役を契機に突入するCZ「ライジングチャンス」のクリアを目指すゲーム性だ。CZは2部構成となっていて、前半でダメージを与えるほど後半の勝利期待度がアップ。前半のみで勝利した場合は、特化ゾーンからATがスタートすることもある。  AT「グッドラックタイム」は純増約2.5枚/G、1セット5Gのショートタイプ。ゲーム数が短い分、ベル5連で上乗せ確定など、高頻度で上乗せが獲得できる爽快感は抜群だ。大量ストック獲得に期待できる特化ゾーンも数多く搭載されているぞ！
パチスロデビルメイクライ5,https://p-town.dmm.com/upload/machines/4089/image.jpg?t=1643621232,,アデリオン（メーカー公式サイト）  アデリオンの掲載機種一覧,97.9% 〜 111.1%,2022/03/07(月),1周期約100Gの周期抽選タイプ。  周期中に悪魔を倒してレベルを上げるほど、「デビルバトル」の撃破期待度がアップする。デビルバトルは最大7体のボスが登場し、1体撃破するごとにAT当選の可能性あり。失敗しても倒したボスは次周期以降へ引き継がれる。  ATは純増約3.5枚/Gの差枚数管理型で、特化ゾーン「スペシャルデビルタイム（SDT）」からスタート。V・ダンテ・ネロのそれぞれに保証ゲーム数が存在し、V＝Vベル、ダンテ＝ダンテ目、ネロ＝リプレイを引くと上乗せ＋ゲーム数が回復するST型だ。  継続率約98.8%を誇る「バージルバトル」に突入すれば、エンディング到達はもう目前！
Sルパン三世,https://p-town.dmm.com/upload/machines/4074/image.jpg?t=1641547627,https://p-town.dmm.com/upload/machines/4074/image.jpg?t=1641547627,平和（メーカー公式サイト）  平和の掲載機種一覧,97.5% 〜 108.0%,2022/03/07(月),擬似ボーナス「HEROES BONUS」からAT「SUPER HEROES」を目指すオーソドックスなAT機（純増2.7枚）。  リーチ目やタイプライター、3連チェリーなど、シリーズおなじみのアツイポイントが多数搭載されている。  通常時はレア役時に前兆移行抽選がおこなわれ、当選すると前兆へ突入。  前兆中は「リーチ目確変システム」という“リーチ目が出現しやすい”状態となるため、フェイク前兆だった場合でも自力で本前兆に書き換えることができる。弱い前兆でも期待感が持てるこの確変システムと伝統の3連チェリーがボーナス当選への王道ルートだ。
パチスロ激壇蜜,https://p-town.dmm.com/upload/machines/4073/image.jpg?t=1641375517,,ボーダー（メーカー公式サイト）  ボーダーの掲載機種一覧,100.1% 〜 108.2% ※ 完全攻略時,2022/02/21(月),比較的、簡単な小役狙いを実行すれば最低設定（設定3）でも機械割が101%を超えることでも注目を集めた『パチスロ壇蜜』がボーナス獲得枚数を大幅に増やし『激壇蜜』として再び登場。  スペックは今回も完全告知のボーナスタイプで難しい技術介入は一切なし。通常時は左リールにチェリーを狙って、ぷるるんスタート（いわゆるリールロック的な演出）時のみ、左＆中リールに羽を狙えば最低設定でも機械割は100%オーバーだ。  設定は4段階あり、50枚あたりのベースが1227.7Gというエクストラ設定の設定Hも搭載されている。
SLOTマッピー,https://p-town.dmm.com/upload/machines/4058/image.jpg?t=1638862887,,メーシー（メーカー公式サイト）  メーシーの掲載機種一覧,99.3% 〜 108.3% ※ 完全攻略時,2022/02/21(月),ナムコ（現バンダイナムコエンターテインメント）の名作ゲーム『マッピー』がボーナス＋ATの超技術介入マシンで登場する。  通常時は基本的にBIG当選時の約50%でセット管理型AT「MAPPY ROUND」へ突入。  BIG中は難易度を選べる技術介入でATのゲーム数上乗せを抽選していて、ゲーム数を上乗せすれば「MAPPY ROUND」へ突入しなくてもゲーム数管理型AT「MAPPY GAME」に突入する。  ATは純増0.3枚/Gで、消化中はボーナスを引けば必ず「MAPPY ROUND」が1セット上乗せされるため、いかにボーナスを引きながらATをロング継続させられるかが重要だ。
メルヘンクエスト,https://p-town.dmm.com/upload/machines/4107/image.jpg?t=1645005718,,JPS  JPSの掲載機種一覧,99.4% 〜 104.6% ※ 完全攻略時,2022/02/21(月),「メルヘンワールド」グループの専用機として『メルヘンクエスト』が登場。  シンプルなボーナスタイプで、約195枚獲得できるBIGと約104枚獲得できるREGの2種類のボーナスを搭載している。
パチスロドリフターズ,https://p-town.dmm.com/upload/machines/4070/image.jpg?t=1640340060,,サミー（メーカー公式サイト）  サミーの掲載機種一覧,97.6% 〜 109.2%,2022/02/07(月),ラッシュ中は約1/3.3でボーナスに当選!?  ドリフターズラッシュと漂流者ボーナスのループによる圧倒的な爽快感で、『パチスロドリフターズ』が登場する。  ラッシュ突入のメイン契機となる「ドリフターズゲート」は、ベルさえ引ければOK。やれる感満載の1台になっている。
BLACKLAGOONZERObulletMAX,https://p-town.dmm.com/upload/machines/4072/image.jpg?t=1640656367,,エフ（メーカー公式サイト）  エフの掲載機種一覧,97.6% 〜 110.3%,2022/02/07(月),ファン待望の「バレ満」が復活！  通常時は約1/50で突入する「レヴィチャージ」でポイントを貯め、MAXになると50%以上でCZやATに突入する。  ATは上乗せ特化ゾーン「ヘブンズラッシュ」からスタート。必ず特化ゾーンを体感できるところも、魅力的なポイントと言えるだろう。  引き戻しに期待できるバラライカゾーンなど、注目しておきたい要素も数多く搭載されている。
押忍！番長ZERO,https://p-town.dmm.com/upload/machines/4052/image.jpg?t=1638150005,,パオン・ディーピー（メーカー公式サイト）  パオン・ディーピーの掲載機種一覧,97.6% 〜 113.0%,2022/01/31(月),昭和の時代と轟鋼鉄を主人公にして、『押忍！番長ZERO』が登場。  通常時は押忍ポイントを貯めてボーナスに当選し、ボーナス中の抽選でATに突入というのが基本的なゲーム性となっている。特訓や対決など、おなじみの演出はもちろん健在だ。  AT「頂ロード」は純増約2.7枚／G、1セット30G＋α継続。AT中も押忍ポイントがボーナスの契機なので、ポイント特化ゾーンの「頂チャージ」への突入が、ロング継続には不可欠と言えるだろう。  「頂ロード」・「頂チャージ」・「ボーナス」のループに加え、強力特化ゾーンの「頂チャージライジング」や「絶頂チャージ」など、大量出玉につながるトリガーも多数搭載している。
HYPERA-30BLUEFALCON,https://p-town.dmm.com/upload/machines/4080/image.jpg?t=1641893911,,DAXEL（メーカー公式サイト）  DAXELの掲載機種一覧,97.0% 〜 109.0%,2022/01/25(火),愛知県にあるホール「GOLD玉越」のPB機として登場した完全告知のボーナスタイプ。  通常時は予告音or遅れ発生時にのみチェリーとスイカを狙うだけで、それ以外はオールフリー打ちでOKだ。  ボーナス中は一度だけ逆押しフリー打ちをすれば、以降は順押しフリー打ちで最大獲得枚数をゲットできる簡単仕様。  青く輝く告知ランプ「ファルコン」の告知パターンも多彩で、様々なBIG確定パターンが搭載されている。
パチスロアラジンAクラシック,https://p-town.dmm.com/upload/machines/4044/image.jpg?t=1637059312,,サミー（メーカー公式サイト）  サミーの掲載機種一覧,97.6% 〜 108.8%,2022/01/24(月),アラジンAが6.2号機になって復活！  おなじみの単チェリーのアツさは、今作でも健在だ。
ぱちスロギャグダー,https://p-town.dmm.com/upload/machines/4071/image.jpg?t=1640340329,https://p-town.dmm.com/upload/machines/4071/image.jpg?t=1640340329,京楽（メーカー公式サイト）  京楽の掲載機種一覧,97.8% 〜 110.4%,2022/01/24(月),よしもと芸人とのタイアップ機。  通常時はWAI♪WAI♪ランプ点灯でボーナスというシンプルな仕様となっていて、2種類の告知タイプと3種類の演出タイプの中から、自分好みにカスタムして楽しむことができる。  ボーナスはBIGとREGの2種類あり、BIGは約300枚、REGは約100枚を獲得可能。ボーナス中は芸人が登場するほど、「ギャグ連」の期待度がアップする。
新世紀エヴァンゲリオン〜魂の共鳴〜,https://p-town.dmm.com/upload/machines/4060/image.jpg?t=1638869635,,ビスティ（メーカー公式サイト）  ビスティの掲載機種一覧,97.9% 〜 110.3%,2022/01/24(月),歴代最高峰となる継続率約93%のATを搭載して、『新世紀エヴァンゲリオン 〜魂の共鳴〜』が登場。  通常時はおもにレア役を契機に突入する、CZ「ゼルエル決戦」突破でATへ突入というシンプルな流れ。リプレイでシンクロ率を上げるほどレア役確率がアップする、シンクロシステムにも注目だ。  ATは差枚数管理型の「（超）覚醒ボーナス」とST型の「（超）暴走モード」の2種類。基本的に突入する「暴走モード」は、5個の保留で約1/2.6を引ければブースト（出玉増加のメイン区間）に当選。ブーストのゲーム数は5〜30G＋αと短めだが、約93%と高い継続性能とレア役などでのブーストストックで、大量出玉獲得を目指せ！
S聖闘士星矢冥王復活,https://p-town.dmm.com/upload/machines/4035/image.jpg?t=1635475544,,三洋（メーカー公式サイト）  三洋の掲載機種一覧,97.4% 〜 110.0%,2022/01/24(月),通常時はゲーム数消化で冥闘士激闘（SB）を目指し、SBを3戦突破すれば聖闘士RUSH（AT）へ突入するシリーズおなじみのゲーム性。  強チェリーや小宇宙ポイント契機の直行やSBを有利に進めるアイテム獲得抽選も搭載されている。  メインATの聖闘士RUSHは差枚数管理型ATで純増は3.2枚。  ハズレや共通ベルで貯める火時計ポイントやレア役で上乗せや特化ゾーンが抽選される。
パチスロディスクアップ2,https://p-town.dmm.com/upload/machines/4043/image.jpg?t=1637058971,,サミー（メーカー公式サイト）  サミーの掲載機種一覧,99.4% 〜 108.6% ※ 完全攻略時,2022/01/24(月),ゲーム性は前作とほぼ同じで、通常時はBIGを引くことでATに突入。  今作では同色・異色BIGともにビタ押しの技術介入を搭載しているため、基本的にAT突入濃厚となる。  もちろんAT中のBIGはビタ押し不要のハイパーBIGでゲーム数上乗せを獲得することが可能。  継続率管理のfeat.ダンスタイム（継続率約80%）、上乗せゲーム数が2倍になるダブルアップBB、全リールのビタ押しにチャレンジする極・技術介入など、新要素も多数搭載されている。
パチスロ南国物語30,https://p-town.dmm.com/upload/machines/4037/image.jpg?t=1635507238,https://p-town.dmm.com/upload/machines/4037/image.jpg?t=1635507238,アムテックス（メーカー公式サイト）  アムテックスの掲載機種一覧,97.5% 〜 106.5%,2022/01/24(月),蝶が光ればボーナスというおなじみの一発告知を搭載して『南国物語』が登場。  スペックは完全告知のボーナスタイプなので難しい要素は一切ない。  ボーナスはBIG・REGの2種類あり、どちらもオールフリー打ち（REG中のみ目押し必須の設定推測要素あり）でOK。  BIGは開始1G目にリプレイ（JAC IN）を引くことができれば、MAXで271枚獲得できる“ヒキ”次第で枚数が若干変動するところも面白いポイントだ。
ハイスクールD×D2　ハーレム王に俺はなる,https://p-town.dmm.com/upload/machines/4034/image.jpg?t=1636628029,https://p-town.dmm.com/upload/machines/4034/image.jpg?t=1636628029,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,97.6% 〜 107.4%,2022/01/24(月),大人気ハーレムアニメとのコラボで『ハイスクールD×D2　ハーレム王に俺はなる』が登場！
ハナハナホウオウ～天翔～-30,https://p-town.dmm.com/upload/machines/4013/image.jpg?t=1634021943,https://p-town.dmm.com/upload/machines/4013/image.jpg?t=1634021943,パイオニア（メーカー公式サイト）  パイオニアの掲載機種一覧,97% 〜 109%,2022/01/24(月),ゲーム性はこれまでと同じくハイビスカスが光ればボーナスとなる、完全告知のボーナスタイプ。  もちろんゲーム性だけでなく、これまでのシリーズにあった設定推測要素も踏襲されている。  黄金に輝くゴールドリールと筐体、神獣シリーズならではのボーナス確率の高さなど、新たな楽しさも満載だ。
ハナハナホウオウ～天翔～,https://p-town.dmm.com/upload/machines/4014/image.jpg?t=1634021843,https://p-town.dmm.com/upload/machines/4014/image.jpg?t=1634021843,パイオニア（メーカー公式サイト）  パイオニアの掲載機種一覧,97% 〜 109%,2022/01/24(月),ゲーム性はこれまでと同じくハイビスカスが光ればボーナスとなる、完全告知のボーナスタイプ。  もちろんゲーム性だけでなく、これまでのシリーズにあった設定推測要素も踏襲されている。  黄金に輝くゴールドリールと筐体、神獣シリーズならではのボーナス確率の高さなど、新たな楽しさも満載だ。
パチスロ春一番,https://p-town.dmm.com/upload/machines/4061/image.jpg?t=1676445598,https://p-town.dmm.com/upload/machines/4061/image.jpg?t=1676445598,西陣（メーカー公式サイト）  西陣の掲載機種一覧,97.3% 〜 106.0%,2022/01/24(月),パチンコでおなじみの「春一番」が、パチスロになって登場する。  通常時のゲーム性はボーナスタイプ。ボーナス（AT）中も含め、毎ゲームボーナスをガチ抽選していて、ボーナス当選時は筐体上部の一番パネルでの告知が発生する。  ボーナスは約60G継続のBIGと約20G継続のREGの2種類があり、いずれも純増は約5枚/G。ボーナス中は1G蓮の抽選をおこなっていて、BIG1回あたりの1G蓮獲得率は約28.5%（設定6）だ。  ノンストップで約2000枚を獲得可能な「極頂ボーナス」が搭載されているなど、ボーナスタイプのシンプルなゲーム性とAT機の一撃性を兼ね備えた魅力的なスペックになっている。
来雷エイサーEX-30,https://p-town.dmm.com/upload/machines/4041/image.jpg?t=1635856449,https://p-town.dmm.com/upload/machines/4041/image.jpg?t=1635856449,オーイズミ（メーカー公式サイト）  オーイズミの掲載機種一覧,97.4% 〜 107.6%,2022/01/24(月),完全告知のボーナスタイプでエイサーシリーズが6号機になって再び登場。  前作の乱嵐エイサーでおなじみのド迫力告知「F.O.S（フェイスオブシーサー）」に加え、沖スロ屈指の告知パターン、シーサーランプの点灯個数で設定を示唆する「設定シーサー」などなど、パワーアップした要素も満載だ。
沖ワニマル－30,https://p-town.dmm.com/upload/machines/4015/image.jpg?t=1633669347,https://p-town.dmm.com/upload/machines/4015/image.jpg?t=1633669347,バルテック（メーカー公式サイト）  バルテックの掲載機種一覧,97.8% 〜 107.0%,2022/01/17(月),-
沖ワニマル－25,https://p-town.dmm.com/upload/machines/4016/image.jpg?t=1633669507,https://p-town.dmm.com/upload/machines/4016/image.jpg?t=1633669507,バルテック（メーカー公式サイト）  バルテックの掲載機種一覧,97.4% 〜 106.2%,2022/01/17(月),-
